sales_pk,date,store_id,store_name,store_city,store_state,store_region,store_type,department,category,subcategory,item_name,plu_code,unit_type,units_sold,item_count,unit_price,revenue,transactions
2026-04-20__store_006__PLU-3053,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Leafy Greens,Romaine Lettuce,PLU-3053,head,76,95,2.57,195.32,42
2026-04-20__store_006__PLU-3054,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Leafy Greens,Iceberg Lettuce,PLU-3054,head,114,131,1.93,220.02,85
2026-04-20__store_006__PLU-3090,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Leafy Greens,Spinach,PLU-3090,bag,63,83,3.45,217.35,28
2026-04-20__store_006__PLU-3627,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Leafy Greens,Kale,PLU-3627,bunch,60,77,2.97,178.2,41
2026-04-20__store_006__PLU-3096,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Leafy Greens,Arugula,PLU-3096,bag,43,55,3.81,163.83,27
2026-04-20__store_006__PLU-4562,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Root Vegetables,Carrots,PLU-4562,bag,160,217,1.54,246.4,105
2026-04-20__store_006__PLU-3082,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Root Vegetables,Beets,PLU-3082,bunch,30,36,2.72,81.6,14
2026-04-20__store_006__PLU-3163,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Root Vegetables,Turnips,PLU-3163,bunch,38,50,1.97,74.86,21
2026-04-20__store_006__PLU-3213,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Root Vegetables,Parsnips,PLU-3213,bunch,17,22,2.31,39.27,13
2026-04-20__store_006__PLU-4072,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Root Vegetables,Sweet Potato,PLU-4072,lb,101,131,1.26,127.26,52
2026-04-20__store_006__PLU-3083,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Brassicas,Broccoli,PLU-3083,head,165,176,2.57,424.05,92
2026-04-20__store_006__PLU-3149,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Brassicas,Cauliflower,PLU-3149,head,69,80,3.16,218.04,46
2026-04-20__store_006__PLU-3069,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Brassicas,Cabbage,PLU-3069,head,47,53,1.76,82.72,36
2026-04-20__store_006__PLU-3924,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Brassicas,Brussels Sprouts,PLU-3924,bag,55,76,4.18,229.9,31
2026-04-20__store_006__PLU-4565,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Vegetables,Brassicas,Bok Choy,PLU-4565,head,26,31,2.22,57.72,14
2026-04-20__store_006__PLU-3107,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Citrus,Navel Oranges,PLU-3107,each,180,218,1.31,235.8,122
2026-04-20__store_006__PLU-4053,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Citrus,Lemons,PLU-4053,each,200,238,0.8,160,131
2026-04-20__store_006__PLU-4286,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Citrus,Limes,PLU-4286,each,209,225,0.56,117.04,156
2026-04-20__store_006__PLU-4279,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Citrus,Ruby Grapefruit,PLU-4279,each,134,165,1.5,201,61
2026-04-20__store_006__PLU-3668,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Citrus,Clementines,PLU-3668,bag,52,53,5.04,262.08,24
2026-04-20__store_006__PLU-4011,2026-04-20,store_006,Lakeway Fresh,Lakeway,TX,Central,Suburban,Fresh Produce,Fruit,Tropical,Bananas,PLU-4011,lb,295,357,0.49,144.55,191
