sales_pk,date,store_id,store_name,store_city,store_state,store_region,store_type,department,category,subcategory,item_name,plu_code,unit_type,units_sold,item_count,unit_price,revenue,transactions
,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Romaine Lettuce,PLU-3053,head,52,62,2.52,131.04,25
2026-04-20__store_007__PLU-3054,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Iceberg Lettuce,PLU-3054,head,88,121,1.95,171.6,43
2026-04-20__store_007__PLU-3090,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Spinach,PLU-3090,bag,63,68,3.62,228.06,31
2026-04-20__store_007__PLU-3627,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Kale,PLU-3627,bunch,44,47,2.84,124.96,19
2026-04-20__store_007__PLU-3627,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Kale,PLU-3627,bunch,44,47,2.84,124.96,19
2026-04-20__store_007__PLU-3096,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Leafy Greens,Arugula,PLU-3096,bag,21,22,4.12,86.52,9
2026-04-20__store_007__PLU-4562,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,Carrots,PLU-4562,bag,135,164,1.56,210.6,65
2026-04-20__store_007__PLU-3082,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,Beets,PLU-3082,bunch,32,41,2.67,85.44,22
2026-04-20__store_007__PLU-3163,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,Turnips,PLU-3163,bunch,13,16,1.96,25.48,9
2026-04-20__store_007__PLU-3213,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,Parsnips,PLU-3213,bunch,18,25,2.21,39.78,11
2026-04-20__store_007__PLU-4072,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,NULL,N/A,lb,62,83,1.33,82.46,30
2026-04-20__store_007__PLU-4072,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Root Vegetables,NULL,N/A,lb,62,83,1.33,82.46,30
2026-04-20__store_007__PLU-3083,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Brassicas,Broccoli,PLU-3083,head,89,119,2.39,212.71,41
2026-04-20__store_007__PLU-3149,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Brassicas,Cauliflower,PLU-3149,head,37,46,3.35,123.95,19
2026-04-20__store_007__PLU-3069,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Brassicas,Cabbage,PLU-3069,head,54,54,1.88,101.52,40
2026-04-20__store_007__PLU-3924,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Brassicas,Brussels Sprouts,PLU-3924,bag,26,29,3.98,103.48,14
2026-04-20__store_007__PLU-4565,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Vegetables,Brassicas,Bok Choy,PLU-4565,head,21,25,2.27,47.67,15
2026-04-20__store_007__PLU-3107,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Citrus,Navel Oranges,PLU-3107,each,101,133,1.34,135.34,46
2026-04-20__store_007__PLU-4053,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Citrus,Lemons,PLU-4053,each,135,177,0.76,102.6,86
2026-04-20__store_007__PLU-4053,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Citrus,Lemons,PLU-4053,each,135,177,0.76,102.6,86
2026-04-20__store_007__PLU-4286,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Citrus,Limes,PLU-4286,each,105,141,0.59,61.95,67
